Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,Label
390.143594988,928.9133214,0.58,2.413097621,376,No
167.08852495999994,835.4426248,0.8,4.682390235,294,Yes
40.42855897999999,202.1427949,0.8,4.083259739,61,Yes
234.43476019999994,1172.173801,0.8,3.07072064,71,Yes
161.27294149999997,733.058825,0.78,3.046505026,179,Yes
360.17979878100004,878.4873141,0.59,4.483468982,174,Yes
359.99033681000003,1161.259151,0.69,4.102985813,121,Yes
187.652049679,257.0576023,0.27,3.9539289,434,Yes
139.78975564,349.4743891,0.6,3.001913116,88,Yes
244.04089474800003,581.0497494,0.58,4.242294729,9727,Yes
86.2331507,344.9326028,0.75,2.45504131,243,Yes
387.423322272,717.4505968,0.46,4.623613616,383,No
291.38784842999996,1387.561183,0.79,4.576523385,5268,Yes
279.03260511599996,416.4665748,0.33,4.46671934,185,No
478.58282426500006,736.2812681,0.35,2.828807659,416,Yes
380.43377267700004,884.7297039,0.57,4.864682135,191,Yes
237.651381306,698.9746509,0.66,2.76065657,421,No
348.19871522000005,1123.221662,0.69,5.0,536,Yes
186.314043786,716.5924761,0.74,2.887428553,438,No
194.10599287799997,924.3142518,0.79,2.767824744,301,Yes
756.3350066,756.3350066,0.0,3.017863818,289,No
187.45629509999998,937.2814755,0.8,2.959724908,334,No
1200.752746,1200.752746,0.0,3.643792328,224,Yes
771.8419431,771.8419431,0.0,3.204531652,88,Yes
174.30939301999996,871.5469651,0.8,4.627949296,280,Yes
489.939681989,671.1502493,0.27,4.04496068,99,Yes
325.03218847999995,1015.725589,0.68,4.923780903,416,Yes
111.007386152,146.0623502,0.24,2.838968867,51,No
219.79567244799998,499.5356192,0.56,3.241199691,68,Yes
475.24261377600004,880.0789144,0.46,3.151465383,7272,No
170.65267483999997,853.2633742,0.8,2.680084997,2905,No
158.60236591999998,689.575504,0.77,3.267640256,3518,No
233.04225839999995,1165.211292,0.8,3.392072361,6546,No
504.500507434,655.1954642,0.23,3.763260342,4316,No
160.41733259999998,802.086663,0.8,2.796104558,2968,No
314.78868832,393.4858604,0.2,3.725233647,361,Yes
134.26463171400002,253.3294938,0.47,3.298137411,402,Yes
567.5157990600001,1351.228093,0.58,4.05794235,418,Yes
354.08709224,442.6088653,0.2,3.470755923,222,Yes
119.00023226599998,517.3923142,0.77,2.763686304,8726,No
419.49464910000006,1398.315497,0.7,3.235580564,223,Yes
775.2298196,775.2298196,0.0,3.888333762,69,Yes
143.836964284,276.6095467,0.48,3.379570109,7452,Yes
66.320648563,141.1077629,0.53,3.430471491,134,Yes
116.98575441999996,584.9287721,0.8,4.951669854,9072,Yes
280.23604466500007,966.3311885,0.71,4.189523292,2723,Yes
427.09802510899993,700.1606969,0.39,4.972697335,416,Yes
464.51553125999993,1407.622822,0.67,2.816765615,226,Yes
436.11929997799996,597.4236986,0.27,3.744842182,169,Yes
195.26655415999997,976.3327708,0.8,3.944977603,7124,Yes
340.18939495000006,1097.385145,0.69,3.572744461,345,No
459.39160124,883.445387,0.48,3.566971838,244,Yes
623.6980249,623.6980249,0.0,2.821850049,357,Yes
282.320983,1008.289225,0.72,3.439905942,426,Yes
269.25941959999994,1346.297098,0.8,3.0185713,494,Yes
175.004189052,265.1578622,0.34,4.189902399,233,Yes
1134.490953,1134.490953,0.0,3.198752222,199,Yes
551.60602552,1490.827096,0.63,4.50692943,3353,Yes
116.83553471999998,584.1776736,0.8,2.706310849,288,No
103.50250109999998,517.5125055,0.8,3.483095236,326,No
669.2455897,669.2455897,0.0,3.682728258,377,No
141.61829703999996,708.0914852,0.8,4.453575566,168,Yes
152.86929392800002,587.9588228,0.74,3.339229982,256,No
121.829654296,435.1059082,0.72,2.272735021,168,No
142.5964297,570.3857188,0.75,3.670649048,327,Yes
377.99906508000004,1303.445052,0.71,2.905558764,223,No
627.2497405600001,1529.877416,0.59,3.312094966,70,Yes
426.7525972000001,1471.56068,0.71,4.115270099,312,Yes
414.0282025700001,1335.574847,0.69,4.282440175,400,Yes
346.24024328,432.8003041,0.2,2.725651721,307,No
421.97033658000004,649.1851332,0.35,3.576191834,7151,Yes
508.5519674,508.5519674,0.0,3.961208596,257,Yes
213.825698694,791.9470322,0.73,2.627804763,4815,No
93.12780089999998,465.6390045,0.8,4.523993821,338,Yes
134.04861961999998,670.2430981,0.8,3.13027855,107,No
650.3653316,650.3653316,0.0,3.227574449,245,No
236.46011359999997,1182.300568,0.8,2.662378295,271,Yes
75.93725829999998,379.6862915,0.8,4.122793169,128,Yes
230.62258065000003,768.7419355,0.7,4.481817538,386,Yes
864.4010535,864.4010535,0.0,2.617315549,398,No
399.8637471999999,1249.57421,0.68,3.504011189,310,Yes
224.2059024,224.2059024,0.0,4.526990363,111,Yes
274.608001278,704.1230802,0.61,3.92760439,192,No
434.691969472,679.2062023,0.36,3.747649915,125,Yes
1140.904378,1140.904378,0.0,3.430901439,431,Yes
1045.013646,1045.013646,0.0,4.644292916,300,Yes
161.77866585,647.1146634,0.75,3.722857643,449,No
366.82851582499995,547.5052475,0.33,3.905620177,9334,No
185.67870275,742.714811,0.75,4.791972139,318,Yes
227.531828738,494.6344103,0.54,3.481098513,282,Yes
322.98549062399997,672.8864388,0.52,4.465714204,336,No
1086.523665,1086.523665,0.0,3.760357324,84,Yes
68.63117431999999,343.1558716,0.8,4.86942674,64,Yes
647.4783269,647.4783269,0.0,3.827273353,224,No
232.10283019999997,1160.514151,0.8,2.481569666,245,Yes
465.17355315200007,830.6670592,0.44,3.498881337,2487,No
177.863736195,658.7545785,0.73,2.393168516,211,No
210.73810699999996,1053.690535,0.8,5.0,432,Yes
331.169747083,675.8566267,0.51,2.430343514,5278,No
505.57462853,1075.690699,0.53,4.564569674,269,Yes
358.83319030800004,703.5944908,0.49,2.978601403,442,Yes
197.06316226799996,938.3960108,0.79,3.122284244,355,Yes
345.59757064,617.138519,0.44,3.657590463,80,Yes
892.7758168,892.7758168,0.0,2.789814165,176,No
836.5240236,836.5240236,0.0,3.618392648,4334,No
386.76090117600006,678.5278968,0.43,4.660276291,273,Yes
805.2864448,805.2864448,0.0,3.255837088,344,Yes
365.18594216,1404.561316,0.74,2.72036907,176,No
498.230707352,940.0579384,0.47,3.735830935,355,No
1063.21786,1063.21786,0.0,2.832036785,60,No
60.65929977999999,303.2964989,0.8,4.538789866,203,Yes
166.73269872000003,208.4158734,0.2,3.954611459,300,Yes
357.78890343999996,777.801964,0.54,2.759491161,262,No
336.22641517,1461.853979,0.77,4.654290122,9056,Yes
503.67684411000005,932.7348965,0.46,2.395185931,532,No
137.818143216,530.0697816,0.74,4.36110578,251,Yes
254.39004079999995,1271.950204,0.8,3.654795478,522,No
306.570308478,729.9293059,0.58,3.166768982,8998,No
153.53700648,393.684632,0.61,2.830586682,103,Yes
245.21863699999994,1226.093185,0.8,4.367608147,104,Yes
203.888352228,399.7810828,0.49,4.427691565,176,No
204.68292519999994,1023.414626,0.8,3.134186696,291,No
68.416516392,162.8964676,0.58,3.190056645,8197,Yes
